Price,Close,High,Low,Open,Volume,Daily Return,MA20,MA50
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,
2024-08-01,216.6841583251953,222.7571844619209,215.35444602521784,222.64802807062824,62501000,-0.01675072854241111,223.32083282470703,210.42179962158204
2024-08-02,218.17263793945312,223.86859053089324,216.03914463167754,217.46808032420208,105568600,0.006869351344199082,222.99931945800782,210.9677764892578
2024-08-05,207.6639404296875,211.8614726265992,194.4957781490091,197.562059997048,119548600,-0.04816689026183929,222.07893829345704,211.3323568725586
2024-08-06,205.63958740234375,208.37841518370308,199.52687447574846,203.72440665766518,69660500,-0.009748216388242747,221.01467056274413,211.73623321533202
2024-08-07,208.20970153808594,212.00037630720823,204.80601788828693,205.31209833985366,63516400,0.012498148669757958,219.86555862426758,212.12998779296876
2024-08-08,211.67291259765625,212.5560815310077,207.22729938249148,211.47445056104476,47161100,0.016633283819086575,219.15802993774415,212.59280822753905
2024-08-09,214.58045959472656,215.11630867247783,210.34322570654538,210.47223285968454,42201600,0.013736037178252003,218.44851837158203,213.1078253173828
2024-08-12,216.1103973388672,218.07747160820446,214.1929998012183,214.65993379251097,38028100,0.0071299024479218875,217.62398529052734,213.63359466552734
2024-08-13,219.82598876953125,220.44193777769505,217.58072790378117,217.58072790378117,44155300,0.017193024844787574,216.96439361572266,214.21462341308595
2024-08-14,220.27304077148438,221.5744891931242,218.2662191901357,219.13055181670978,41960600,0.0020336631007802364,216.6218734741211,214.76926666259766
2024-08-15,223.25347900390625,223.8793724762866,221.30626328939533,223.13426697458056,46414000,0.013530653692268357,216.6615737915039,215.37716735839842
2024-08-16,224.57479858398438,225.34970708383625,222.19045191126241,222.45869413327577,44340200,0.005918472518204432,216.76088943481446,215.98132781982423
2024-08-19,224.41583251953125,224.51518597934856,221.58442566604344,224.2469437652095,40687800,-0.0007078535323440382,216.86962203979493,216.6098956298828
2024-08-20,225.03179931640625,225.68749582093912,223.97871925960482,224.2966382287883,30299000,0.002744756419186256,216.95705490112306,217.20295257568358
2024-08-21,224.92251586914062,226.49220666639903,223.58133501497932,225.04174306182065,34765500,-0.00048563557505032495,217.36004180908202,217.86864562988282
2024-08-22,223.064697265625,226.84983046212884,222.43880384726458,226.30341677619586,43695300,-0.008259816036365608,217.72223434448242,218.2187356567383
2024-08-23,225.35963439941406,226.73063334528243,222.866020162344,224.187342377279,38677300,0.010288213069664875,218.17585372924805,218.49723266601563
2024-08-26,225.69740295410156,225.79675641202357,222.4288803537143,225.28014571740593,30602200,0.001498797935076679,218.63246841430663,218.75926483154296
2024-08-27,226.5418701171875,227.35652605602343,223.4223624308928,224.52511915345738,35934600,0.003741590076061563,219.10352325439453,219.0729180908203
2024-08-28,225.01193237304688,228.35993491185639,224.20720569696516,226.43259292076607,38052200,-0.00675344360558694,219.33533935546876,219.2730142211914
2024-08-29,228.29037475585938,231.39995310375193,227.3863249726349,228.59836441740794,51906300,0.014570082342909574,219.91565017700196,219.58591369628905
2024-08-30,227.5055389404297,228.89639643358683,225.99545426270925,228.68777538921813,52990800,-0.003437883950512699,220.38229522705078,219.97460906982423
